id_chamada,tipo_pedido,horario,distancia,demanda,preco,metodo_pagamento,avaliacao_motorista,avaliacao_passageiro
8047309,UberX,2023-01-29T17:58:19,20.73,1.7,54.78,Dinheiro,2,
1206934,UberX,2023-11-16T20:18:08,4.1,0.9,7.46,Pix,1,1
3032542,Uber Select,2023-03-16T03:00:56,2.68,0.8,5.04,Cartão,5,
4910494,Uber Flash,2023-12-27T15:28:16,7.0,0.9,12.24,Dinheiro,4,2
9173902,Uber Flash,2023-11-22T01:03:01,29.99,1.0,43.37,Dinheiro,2,2
3673791,UberX,2023-06-05T16:30:33,24.61,1.2,44.63,Cartão,3,1
7375572,Uber Flash,2023-02-06T08:15:29,22.84,1.5,54.25,Dinheiro,2,2
8415389,Uber Select,2023-03-12T01:26:27,12.13,1.5,28.99,Cartão,4,1
4809894,Uber Moto,2023-05-04T13:40:18,26.91,1.0,44.09,Cartão,3,4
2866969,UberX,2023-06-02T16:41:09,23.44,0.9,36.15,Dinheiro,2,5
8942402,Uber Flash,2023-05-26T10:36:04,28.09,1.1,51.21,Dinheiro,1,2
8412281,Uber Select,2023-09-24T22:33:17,6.13,2.0,20.15,Pix,4,1
8073349,Uber Select,2023-04-27T14:17:14,15.11,0.8,18.09,Pix,4,4
3785737,Uber Comfort,2023-09-27T06:21:12,13.09,1.1,25.16,Pix,,1
3091093,UberX,2023-07-07T01:06:41,3.8,1.2,9.4,Dinheiro,1,3
5232466,Uber Comfort,2023-04-25T03:34:56,24.3,1.0,39.34,Cartão,3,4
7361477,Uber Moto,2023-12-16T11:27:21,26.45,1.7,63.78,Pix,,2
9736002,Uber Moto,2023-09-07T09:57:27,17.11,1.2,32.61,Cartão,3,3
8258586,Uber Moto,2023-08-23T04:59:39,29.93,1.1,49.66,Dinheiro,4,3
7910211,Uber Select,2023-10-29T17:19:22,20.86,2.3,82.95,Pix,3,
9564174,UberX,2023-01-30T16:53:42,29.44,1.0,44.09,Cartão,3,4
6975606,Uber Select,2023-04-30T06:59:51,20.8,1.4,49.71,Dinheiro,4,5
1453124,UberX,2023-01-15T21:43:03,23.87,1.7,59.42,Pix,3,2
9107528,Uber Moto,2023-06-18T19:07:08,4.72,1.8,17.34,Cartão,3,1
3717501,Uber Comfort,2023-03-06T06:08:38,21.06,1.1,39.83,Dinheiro,,2
